"","(Intercept)","living_area","year_sold","mod$coefficients[4:n]","neighborhood","neighborhood_num"
"605",141374.972516129,71.4716580373283,13766.2930038246,22838.3392593082,"neighborhood4500","4500"
"606",141374.972516129,71.4716580373283,13766.2930038246,12923.3465329321,"neighborhood4520","4520"
"607",141374.972516129,71.4716580373283,13766.2930038246,30606.0064848693,"neighborhood4531","4531"
"608",141374.972516129,71.4716580373283,13766.2930038246,-1629.5413605215,"neighborhood4580","4580"
"609",141374.972516129,71.4716580373283,13766.2930038246,-51423.1182279083,"neighborhood4600","4600"
"610",141374.972516129,71.4716580373283,13766.2930038246,-16695.4489428057,"neighborhood4601","4601"
"611",141374.972516129,71.4716580373283,13766.2930038246,-9001.82301185281,"neighborhood4605","4605"
"612",141374.972516129,71.4716580373283,13766.2930038246,-56400.0722605339,"neighborhood4610","4610"
"613",141374.972516129,71.4716580373283,13766.2930038246,-44707.4036761405,"neighborhood4620","4620"
"614",141374.972516129,71.4716580373283,13766.2930038246,-51385.5027888504,"neighborhood4640","4640"
"615",141374.972516129,71.4716580373283,13766.2930038246,-73328.595444718,"neighborhood4647","4647"
"616",141374.972516129,71.4716580373283,13766.2930038246,21063.1408014779,"neighborhood4650","4650"
"617",141374.972516129,71.4716580373283,13766.2930038246,48679.0587011677,"neighborhood4660","4660"
"618",141374.972516129,71.4716580373283,13766.2930038246,4975.39901151239,"neighborhood4680","4680"
"619",141374.972516129,71.4716580373283,13766.2930038246,30895.9468807876,"neighborhood4682","4682"
"620",141374.972516129,71.4716580373283,13766.2930038246,34495.1743471039,"neighborhood4700","4700"
"621",141374.972516129,71.4716580373283,13766.2930038246,-28602.9301276023,"neighborhood4720","4720"
"622",141374.972516129,71.4716580373283,13766.2930038246,-13548.315254473,"neighborhood4730","4730"
"623",141374.972516129,71.4716580373283,13766.2930038246,-39870.7120706446,"neighborhood4750","4750"
"624",141374.972516129,71.4716580373283,13766.2930038246,4149.19805031178,"neighborhood4780","4780"
"625",141374.972516129,71.4716580373283,13766.2930038246,28283.3139986746,"neighborhood4790","4790"
"626",141374.972516129,71.4716580373283,13766.2930038246,79415.2263632522,"neighborhood4793","4793"
"627",141374.972516129,71.4716580373283,13766.2930038246,-16917.7472641538,"neighborhood4800","4800"
"628",141374.972516129,71.4716580373283,13766.2930038246,5548.47032600259,"neighborhood4810","4810"
"629",141374.972516129,71.4716580373283,13766.2930038246,-77023.4003909646,"neighborhood4820","4820"
"630",141374.972516129,71.4716580373283,13766.2930038246,57414.4777450983,"neighborhood4830","4830"
"631",141374.972516129,71.4716580373283,13766.2930038246,-37956.7311230194,"neighborhood4840","4840"
"632",141374.972516129,71.4716580373283,13766.2930038246,26999.5288269934,"neighborhood4860","4860"
"633",141374.972516129,71.4716580373283,13766.2930038246,-2471.82760407385,"neighborhood4880","4880"
"634",141374.972516129,71.4716580373283,13766.2930038246,12413.1267826368,"neighborhood4890","4890"
"635",141374.972516129,71.4716580373283,13766.2930038246,4559.13285562365,"neighborhood4900","4900"
"636",141374.972516129,71.4716580373283,13766.2930038246,12374.8281767821,"neighborhood4901","4901"
"637",141374.972516129,71.4716580373283,13766.2930038246,45303.1832819101,"neighborhood4902","4902"
"638",141374.972516129,71.4716580373283,13766.2930038246,53585.1552983769,"neighborhood4903","4903"
"639",141374.972516129,71.4716580373283,13766.2930038246,-22012.1974429546,"neighborhood4904","4904"
"640",141374.972516129,71.4716580373283,13766.2930038246,12760.6891350458,"neighborhood4910","4910"
"641",141374.972516129,71.4716580373283,13766.2930038246,-6918.20173953689,"neighborhood4920","4920"
"642",141374.972516129,71.4716580373283,13766.2930038246,27384.1187252297,"neighborhood4930","4930"
"643",141374.972516129,71.4716580373283,13766.2930038246,87873.9382532233,"neighborhood4935","4935"
"644",141374.972516129,71.4716580373283,13766.2930038246,28047.178979718,"neighborhood4938","4938"
"645",141374.972516129,71.4716580373283,13766.2930038246,-12220.3955319861,"neighborhood4950","4950"
"646",141374.972516129,71.4716580373283,13766.2930038246,-66107.913398999,"neighborhood4960","4960"
"647",141374.972516129,71.4716580373283,13766.2930038246,145767.024619303,"neighborhood4967","4967"
"648",141374.972516129,71.4716580373283,13766.2930038246,46005.8481432606,"neighborhood4979","4979"
"649",141374.972516129,71.4716580373283,13766.2930038246,-64041.226995918,"neighborhood4980","4980"
"650",141374.972516129,71.4716580373283,13766.2930038246,-25162.5427670391,"neighborhood5000","5000"
"651",141374.972516129,71.4716580373283,13766.2930038246,-31757.6421942004,"neighborhood5015","5015"
"652",141374.972516129,71.4716580373283,13766.2930038246,-5447.52950289516,"neighborhood5023","5023"
"653",141374.972516129,71.4716580373283,13766.2930038246,-10469.377028675,"neighborhood5025","5025"
"654",141374.972516129,71.4716580373283,13766.2930038246,28870.4652264606,"neighborhood5030","5030"
"655",141374.972516129,71.4716580373283,13766.2930038246,35811.1559106979,"neighborhood5039","5039"
"656",141374.972516129,71.4716580373283,13766.2930038246,-11914.8140170117,"neighborhood5050","5050"
"657",141374.972516129,71.4716580373283,13766.2930038246,11998.84351852,"neighborhood5060","5060"
"658",141374.972516129,71.4716580373283,13766.2930038246,12693.1458747146,"neighborhood5080","5080"
"659",141374.972516129,71.4716580373283,13766.2930038246,41462.9529347753,"neighborhood5098","5098"
"660",141374.972516129,71.4716580373283,13766.2930038246,10964.8296051169,"neighborhood5100","5100"
"661",141374.972516129,71.4716580373283,13766.2930038246,-44139.5476799475,"neighborhood5110","5110"
"662",141374.972516129,71.4716580373283,13766.2930038246,-15383.0507167519,"neighborhood5120","5120"
"663",141374.972516129,71.4716580373283,13766.2930038246,130.666430985873,"neighborhood5140","5140"
"664",141374.972516129,71.4716580373283,13766.2930038246,-34145.5095649209,"neighborhood5170","5170"
"665",141374.972516129,71.4716580373283,13766.2930038246,1100.99164389634,"neighborhood5180","5180"
"666",141374.972516129,71.4716580373283,13766.2930038246,-17443.1818592214,"neighborhood5200","5200"
"667",141374.972516129,71.4716580373283,13766.2930038246,-30104.7801882171,"neighborhood5210","5210"
"668",141374.972516129,71.4716580373283,13766.2930038246,-51037.4157908674,"neighborhood5225","5225"
"669",141374.972516129,71.4716580373283,13766.2930038246,-88730.2752085447,"neighborhood5230","5230"
"670",141374.972516129,71.4716580373283,13766.2930038246,5485.06789444061,"neighborhood5261","5261"
"671",141374.972516129,71.4716580373283,13766.2930038246,-25417.9517355989,"neighborhood5270","5270"
"672",141374.972516129,71.4716580373283,13766.2930038246,8123.19637485318,"neighborhood5275","5275"
"673",141374.972516129,71.4716580373283,13766.2930038246,3273.63397286973,"neighborhood5300","5300"
"674",141374.972516129,71.4716580373283,13766.2930038246,11551.974096689,"neighborhood5306","5306"
"675",141374.972516129,71.4716580373283,13766.2930038246,24385.0832139207,"neighborhood5310","5310"
"676",141374.972516129,71.4716580373283,13766.2930038246,12834.2595054833,"neighborhood5312","5312"
"677",141374.972516129,71.4716580373283,13766.2930038246,-17514.5698700657,"neighborhood5315","5315"
"678",141374.972516129,71.4716580373283,13766.2930038246,-20956.7544331082,"neighborhood5318","5318"
"679",141374.972516129,71.4716580373283,13766.2930038246,-1018.5746907838,"neighborhood5320","5320"
"680",141374.972516129,71.4716580373283,13766.2930038246,11386.5782895436,"neighborhood5325","5325"
"681",141374.972516129,71.4716580373283,13766.2930038246,-12271.4496459129,"neighborhood5330","5330"
"682",141374.972516129,71.4716580373283,13766.2930038246,114343.708411729,"neighborhood5332","5332"
"683",141374.972516129,71.4716580373283,13766.2930038246,-39615.6897252033,"neighborhood5350","5350"
"684",141374.972516129,71.4716580373283,13766.2930038246,13095.157685353,"neighborhood5355","5355"
"685",141374.972516129,71.4716580373283,13766.2930038246,-34649.7324489583,"neighborhood5358","5358"
